Date,Open,High,Low,Close,Volume,SPXHLC3,VIXHLC3,VVIXHLC3
1/3/2007,1418.03,1429.42,1407.86,1416.6,3429160000,1417.96,12.10666667,87.63
1/4/2007,1416.6,1421.84,1408.43,1418.34,3004460000,1416.203333,11.73666667,88.19
1/5/2007,1418.34,1418.34,1405.75,1409.71,2919400000,1411.266667,12.02333333,90.17
1/8/2007,1409.26,1414.98,1403.97,1412.84,2763340000,1410.596667,12.20333333,92.04
1/9/2007,1412.84,1415.61,1405.42,1412.11,3038380000,1411.046667,12.02333333,92.76
1/10/2007,1408.7,1415.99,1405.32,1414.85,2764660000,1412.053333,11.8,93.78
1/11/2007,1414.84,1427.12,1414.84,1423.82,2857870000,1421.926667,10.95,85.97
1/12/2007,1423.82,1431.23,1422.58,1430.73,2686480000,1428.18,10.40666667,85.18
1/16/2007,1430.73,1433.93,1428.62,1431.9,2599530000,1431.483333,10.67666667,85.3
1/17/2007,1431.77,1435.27,1428.57,1430.62,2690270000,1431.486667,10.61333333,84.93
1/18/2007,1430.59,1432.96,1424.21,1426.37,2822430000,1427.846667,10.78,83.66
1/19/2007,1426.35,1431.57,1425.19,1430.5,2777480000,1429.086667,10.55666667,82.49
1/22/2007,1430.47,1431.39,1420.4,1422.95,2540120000,1424.913333,10.82333333,84.43
1/23/2007,1422.95,1431.33,1421.66,1427.99,2975070000,1426.993333,10.5,81.48
1/24/2007,1427.96,1440.14,1427.96,1440.13,2783180000,1436.076667,10.05666667,77.51
1/25/2007,1440.12,1440.69,1422.34,1423.9,2994330000,1428.976667,10.85,80.45
1/26/2007,1423.9,1427.27,1416.96,1422.18,2626620000,1422.136667,11.21666667,81.36
1/29/2007,1422.03,1426.94,1418.46,1420.62,2730480000,1422.006667,11.32333333,81.68
1/30/2007,1420.61,1428.82,1420.61,1428.82,2706250000,1426.083333,11.13333333,78.9
1/31/2007,1428.65,1441.61,1424.78,1438.24,2976690000,1434.876667,10.65,77.28
2/1/2007,1437.9,1446.64,1437.9,1445.94,2914890000,1443.493333,10.29333333,73.5
2/2/2007,1445.94,1449.33,1444.49,1448.39,2569450000,1447.403333,10.13333333,72.44
2/5/2007,1448.33,1449.38,1443.85,1446.99,2439430000,1446.74,10.56333333,70.29
2/6/2007,1446.98,1450.19,1443.4,1448,2608710000,1447.196667,10.65666667,68.55
2/7/2007,1447.41,1452.99,1446.44,1450.02,2618820000,1449.816667,10.37333333,70.32
2/8/2007,1449.99,1450.45,1442.81,1448.31,2816180000,1447.19,10.58333333,73.18
2/9/2007,1448.25,1452.45,1433.44,1438.06,2951810000,1441.316667,10.97,74.39
2/12/2007,1438,1439.11,1431.44,1433.37,2395680000,1434.64,11.59666667,79.12
2/13/2007,1433.22,1444.41,1433.22,1444.26,2652150000,1440.63,10.69666667,75.72
2/14/2007,1443.91,1457.65,1443.91,1455.3,2699290000,1452.286667,10.06333333,74
2/15/2007,1455.15,1457.97,1453.19,1456.81,2490920000,1455.99,10.19666667,70.34
2/16/2007,1456.77,1456.77,1451.57,1455.54,2399450000,1454.626667,10.14666667,70.74
2/20/2007,1455.53,1460.53,1449.2,1459.68,2337860000,1456.47,10.36666667,65.87
2/21/2007,1459.6,1459.6,1452.02,1457.63,2606980000,1456.416667,10.3,67.37
